Model,Train R²,Test R²,CV R² (mean±std),Test RMSE,Test MAE
Random Forest,0.4127854905955437,0.27565290418711763,0.2455±0.0321,0.6198874957737214,0.4795781463060994
Gradient Boosting,0.30126397545834716,0.27375749802137783,0.2455±0.0306,0.6206979987590939,0.48163289935032516
Neural Net,0.33244846234733505,0.22783359822665694,0.1990±0.0241,0.6400220916156973,0.4920130270745221
SVM (RBF),0.444539894561241,0.2106300570519074,0.1398±0.0368,0.647112527083089,0.49401716804712353
Linear Regression,0.18976090287105696,0.20275818526699108,0.1713±0.0230,0.6503311383741835,0.5053334832626589
Ridge (α=1.0),0.1897609024949899,0.20275359585819197,0.1713±0.0230,0.6503330102222842,0.5053349805459103
KNN (k=5),0.4099766754128882,0.11107654422368551,0.0628±0.0194,0.6867073524480961,0.5347789115646259
Lasso (α=0.1),0.13266379427777863,0.1096837497958093,0.1177±0.0167,0.6872451196848772,0.5409126271487568
