rel_delta_median,rel_delta_iqr,rel_theta_median,rel_theta_iqr,rel_alpha_median,rel_alpha_iqr,rel_beta_median,rel_beta_iqr,rel_low_gamma_median,rel_low_gamma_iqr,spectral_entropy_median,spectral_entropy_iqr,hjorth_mobility_median,hjorth_mobility_iqr,hjorth_complexity_median,hjorth_complexity_iqr,log_rms_median,log_rms_iqr,log_ptp_median,log_ptp_iqr,gfp_median,gfp_iqr,flat_channel_fraction,extreme_amplitude_fraction,line_noise_ratio,dataset_id,subject,device,raw_file,window_seconds,window_index,start_seconds,task_condition,task_annotation,missing_channel_fraction,retained_duration_fraction
0.6609917062742716,0.172247928935246,0.10407964401934919,0.0434192376677964,0.04333840954691762,0.057589143404979656,0.06367204190790926,0.07615923315492967,0.012813693492421039,0.030476998968429213,0.6276881615177969,0.13788736540544222,0.28679611304945335,0.20008900755305228,3.27213398766542,1.48227660551072,-5.075871881334354,0.15606819717339082,-4.320075300514759,0.16011585887189028,7.771146583657326e-06,8.124151858109858e-06,0.0,0.0,0.0014991839118395373,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,0,0.0,pain_protocol,unannotated,0.0,1.0
0.6486815545753926,0.16723580858128528,0.17847580916054778,0.07214174761716644,0.05540008599390177,0.0612793567097145,0.06160338989541473,0.04665167225686491,0.01171432982266292,0.010456535995501656,0.619220840913504,0.11188521502073112,0.2686699061720256,0.09025106414115641,3.473483149837258,0.8606075659874888,-5.061939060775404,0.20012794946429846,-4.222594556166269,0.19910019812569857,6.894071553744985e-06,7.723979376284036e-06,0.0,0.0,0.0010588955601463685,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,1,4.0,pain_protocol,unannotated,0.0,1.0
0.8202620358573633,0.11234741021294525,0.08133755323380229,0.07315245021249653,0.018780914386433603,0.019346959188476703,0.01930155970967799,0.022149480916134112,0.002868224599734039,0.004922846257710063,0.48517197351000796,0.0912901698654886,0.167358805400046,0.08265932468636145,4.5916516508552725,1.7277113929237116,-4.854565211444514,0.21269988844346255,-4.126223721438836,0.2565829213850517,2.6251405529034645e-05,2.2512445235417637e-05,0.0,0.015625,0.00033600961613962463,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,2,12.0,pain_protocol,unannotated,0.0,1.0
0.7595602518981147,0.12758574883597418,0.07980593991969302,0.028097005284936763,0.04842708756817965,0.04388438181941244,0.0331609641838431,0.05050931931749861,0.006005260798093774,0.0124834694080289,0.5214930290838599,0.12564460156091128,0.2289448719819182,0.12463361191249903,3.4114790601119083,1.0764549366198382,-4.978084085913531,0.205123496471753,-4.24753845786789,0.1633021503105061,1.197560109354584e-05,1.0340515934231311e-05,0.0,0.0,0.0004541611921100437,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,3,20.0,pain_protocol,unannotated,0.0,1.0
0.7258135047786811,0.1960404270669579,0.09804266353949456,0.021941795607883688,0.036948645287451704,0.034803298308956704,0.05459971632072391,0.08018274002776643,0.007107780596091014,0.01660348573129652,0.5607019712382566,0.17440072811582552,0.2535989127952656,0.17505893312769918,3.2887738570541467,1.1536072456054494,-5.056863484650199,0.23769409075525694,-4.337666614611483,0.22292357386156247,7.728952722869105e-06,7.657706545179888e-06,0.0,0.0,0.0007638184436617765,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,4,24.0,pain_protocol,unannotated,0.0,1.0
0.699764196185972,0.22923524035836895,0.10163216015063986,0.03273003890582449,0.07200134387414577,0.061184293445599315,0.04849935107397262,0.07634001963599707,0.008046952555682992,0.020758092277981508,0.5978025766366288,0.17160909170400418,0.2674717446553023,0.17226105443532594,3.045701203848871,1.1968641357725427,-5.132718355875768,0.22633590922098534,-4.359424294019817,0.2545103845998087,6.942066229929094e-06,4.808110794267716e-06,0.0,0.0,0.0007192718434420524,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,5,32.0,pain_protocol,unannotated,0.0,1.0
0.6774899647044159,0.2525599330573663,0.10419734502338768,0.03732667947664052,0.053021180746404745,0.04236797214913444,0.08077469098688964,0.08970207214188552,0.01033647545569987,0.015968131782837368,0.6200881211045461,0.17248956487036693,0.2637255557450142,0.14988287479583057,3.4460349931544796,1.5604760307346988,-5.120447345163685,0.21938458953602868,-4.358499900649891,0.2043333623572705,5.864305709801762e-06,7.151648326042385e-06,0.0,0.0,0.001092704381045158,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,6,40.0,pain_protocol,unannotated,0.0,1.0
0.6704212468779053,0.2358583329863445,0.08895010385495392,0.03645183651118125,0.09917913563976107,0.11598913936293181,0.044134698355895605,0.08954285626352575,0.00613302852781022,0.018186561699321407,0.6030921438361212,0.1697467763974646,0.249114341319818,0.14693164500181013,3.192079958856711,1.4306196098066484,-5.021570691534852,0.2534737930953179,-4.23100434968884,0.2694046966553225,8.663412912695621e-06,6.339874947510423e-06,0.0,0.0,0.0006379163421818741,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,7,48.0,pain_protocol,unannotated,0.0,1.0
0.6308287095231373,0.19896190031905914,0.09003253723625455,0.03345859076564932,0.06718754297234174,0.042921046199830566,0.11519469908255225,0.12020924801454341,0.026753881340944353,0.0391433713164931,0.6468285863195691,0.16474871596924467,0.33478328181186023,0.17925286947706687,2.8875472030813327,1.1274673960609154,-5.142889290272265,0.1968574033290862,-4.3008774372918905,0.20519599671710687,6.068319951528708e-06,5.020274084252092e-06,0.0,0.0,0.0028628113805329127,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,8,52.0,pain_protocol,unannotated,0.0,1.0
0.6838805870413738,0.17069694453266826,0.1150093530036378,0.06856443394620287,0.0728335556927599,0.04496222996230163,0.061868026605534615,0.0474296165380562,0.008737971750938059,0.00991233220668367,0.6229843994989677,0.13328668544959876,0.3026220818116061,0.0942905333910734,2.8421873197827576,0.9030387118037395,-5.190689148796193,0.15538740874285217,-4.3512149710636505,0.17188019845778957,5.29452312018687e-06,5.0340514753003164e-06,0.0,0.0,0.0006495006035135075,ds005284,sub-001,BioSemi ActiveTwo,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,4,9,60.0,pain_protocol,unannotated,0.0,1.0
