window_seconds,max_subject_share,max_dataset_share,dataset_cramers_v,device_cramers_v,max_qc_nmi,reject_subject_dominated,reject_dataset_or_device_dominated,reject_qc_dominated,trained_on_dataset,held_out_dataset,state_count,accepted
2,0.09787234042553192,0.6042553191489362,0.20421098809705238,0.20421098809705238,0.04553023158619289,False,False,False,ds005284,eegmmidb,2,True
2,0.14695340501792115,0.6553846153846153,0.2436475445778105,0.2436475445778105,0.11856737350637184,False,False,False,eegmmidb,ds005284,3,True
4,1.0,1.0,0.3911858700288531,0.3911858700288531,0.23664177840257647,True,True,True,ds005284,eegmmidb,4,False
4,0.8936170212765957,0.9148936170212766,0.37457515041109873,0.37457515041109873,0.14222465330686665,True,True,False,eegmmidb,ds005284,4,False
8,0.21637426900584794,0.8128654970760234,0.5733775798131541,0.5733775798131541,0.19307907446377928,False,True,False,ds005284,eegmmidb,3,False
8,0.3669724770642202,0.5321100917431193,0.025506200387001323,0.025506200387001323,0.07615819635141895,True,False,False,eegmmidb,ds005284,2,False
