k,inertia,silhouette
1,219831.6011648866,
2,168978.18155677602,
3,153001.4571474961,
4,144682.0476561239,
5,138223.93381696884,
6,131672.4881422072,
7,125949.74979564383,
8,121892.16104422533,
9,118176.05488688813,
10,114713.53915284446,
