source_row,dataset,subject,epoch,rating,laser_power,cluster,component_1,component_2
4966,ds005289,sub-001,0,4.89,4.25,3,-23.061396,24.690187
4967,ds005289,sub-001,1,5.74,4.25,2,20.757528,-1.8118743
4968,ds005289,sub-001,2,5.44,4.25,3,-18.494598,18.51048
4969,ds005289,sub-001,3,5.78,4.25,2,-0.19070947,-1.7184751
4970,ds005289,sub-001,4,4.87,4.25,2,17.71642,-30.76218
4971,ds005289,sub-001,5,7.84,4.25,2,22.766344,-13.724482
4972,ds005289,sub-001,6,7.34,4.25,3,-29.444254,24.165735
4973,ds005289,sub-001,7,4.58,4.25,2,-5.7648168,-35.75269
4974,ds005289,sub-001,8,5.85,4.25,2,23.731188,-21.465021
4975,ds005289,sub-001,9,4.83,4.25,2,-6.5764437,-20.853489
4976,ds005289,sub-002,0,,3.0,2,-2.7627184,-48.980873
4977,ds005289,sub-002,1,3.64,3.0,3,-7.574845,38.41765
4978,ds005289,sub-002,2,5.88,3.0,3,5.0331473,45.921703
4979,ds005289,sub-002,3,7.39,3.0,2,18.26972,-27.294733
4980,ds005289,sub-002,4,5.02,3.0,1,-47.84359,-18.747116
4981,ds005289,sub-002,5,6.02,3.0,1,-42.349148,1.9829004
4982,ds005289,sub-002,6,8.33,3.0,2,27.924227,-44.845158
4983,ds005289,sub-002,7,7.03,3.0,2,3.968765,-45.645813
4984,ds005289,sub-002,8,7.46,3.0,2,15.8039055,-46.22092
4985,ds005289,sub-002,9,3.58,3.0,2,-12.319551,-8.357017
4986,ds005289,sub-003,0,7.68,3.5,0,27.260155,-2.1502864
4987,ds005289,sub-003,1,7.97,3.5,3,11.162269,49.16296
4988,ds005289,sub-003,2,9.29,3.5,0,56.92275,-10.942194
4989,ds005289,sub-003,3,2.08,3.5,0,47.55197,36.959885
4990,ds005289,sub-003,4,4.08,3.5,0,61.591053,-5.824783
4991,ds005289,sub-003,5,7.26,3.5,0,36.01862,8.362784
4992,ds005289,sub-003,6,5.24,3.5,0,40.26711,-13.358719
4993,ds005289,sub-003,7,8.34,3.5,0,61.815388,-6.318307
4994,ds005289,sub-003,8,6.49,3.5,0,31.281065,-0.54175687
4995,ds005289,sub-003,9,6.85,3.5,0,28.929934,-1.9300427
4996,ds005289,sub-004,0,9.89,3.5,0,82.29727,-8.594521
4997,ds005289,sub-004,1,9.27,3.5,3,8.737689,53.23511
4998,ds005289,sub-004,2,7.6,3.5,0,50.454224,5.7136083
4999,ds005289,sub-004,3,8.55,3.5,3,1.1061741,45.77262
5000,ds005289,sub-004,4,7.27,3.5,3,8.93431,52.99322
5001,ds005289,sub-004,5,9.24,3.5,0,48.839893,-14.154095
5002,ds005289,sub-004,6,8.21,3.5,0,24.561495,7.11038
5003,ds005289,sub-004,7,9.3,3.5,3,17.879877,55.822155
5004,ds005289,sub-004,8,7.85,3.5,3,8.418984,53.2943
5005,ds005289,sub-004,9,9.15,3.5,3,4.3158846,49.99678
5006,ds005289,sub-005,0,4.99,3.0,3,30.481964,29.897585
5007,ds005289,sub-005,1,4.49,3.0,3,-4.191836,6.637132
5008,ds005289,sub-005,2,3.15,3.0,2,-18.39802,-17.73537
5009,ds005289,sub-005,3,5.02,3.0,2,40.35897,-30.47125
5010,ds005289,sub-005,4,3.02,3.0,3,-0.79488474,20.224855
5011,ds005289,sub-005,5,5.06,3.0,3,-2.7016075,29.533478
5012,ds005289,sub-005,6,6.0,3.0,3,27.6492,20.672699
5013,ds005289,sub-005,7,3.08,3.0,2,-14.603534,-34.56776
5014,ds005289,sub-005,8,5.25,3.0,0,28.95626,0.022679415
5015,ds005289,sub-005,9,5.16,3.0,0,24.977247,4.6683903
5016,ds005289,sub-006,0,5.56,3.0,2,27.186333,-21.646774
5017,ds005289,sub-006,1,8.58,3.0,0,47.51166,2.3287039
5018,ds005289,sub-006,2,5.33,3.0,3,-19.484104,14.013725
5019,ds005289,sub-006,3,4.42,3.0,2,10.648363,-7.997212
5020,ds005289,sub-006,4,9.19,3.0,0,25.256987,-0.8958495
5021,ds005289,sub-006,5,5.57,3.0,2,1.576781,-7.6569757
5022,ds005289,sub-006,6,7.04,3.0,0,34.857075,-9.703668
5023,ds005289,sub-006,7,5.05,3.0,2,1.7696933,1.2233872
5024,ds005289,sub-006,8,7.85,3.0,2,11.816487,-4.82569
5025,ds005289,sub-006,9,9.06,3.0,0,39.953453,-10.876393
5026,ds005289,sub-007,0,5.66,3.75,0,31.400024,-0.06894999
5027,ds005289,sub-007,1,6.7,3.75,2,6.572402,-2.4523962
5028,ds005289,sub-007,2,3.95,3.75,3,1.675474,3.5304804
5029,ds005289,sub-007,3,4.85,3.75,3,-10.798282,54.793194
5030,ds005289,sub-007,4,5.8,3.75,2,-2.6108413,-2.3255818
5031,ds005289,sub-007,5,6.04,3.75,2,-2.1297672,-6.5840774
5032,ds005289,sub-007,6,7.07,3.75,3,-0.48007286,6.969463
5033,ds005289,sub-007,7,5.95,3.75,2,27.7367,-14.914762
5034,ds005289,sub-008,0,9.04,3.75,2,10.674794,-1.2135403
5035,ds005289,sub-008,1,9.69,3.75,3,-2.5710804,46.836044
5036,ds005289,sub-008,2,4.0,3.75,1,-44.469135,-17.884155
5037,ds005289,sub-008,3,9.43,3.75,0,29.072565,8.850107
5038,ds005289,sub-008,4,4.55,3.75,1,-36.582264,26.557497
5039,ds005289,sub-008,5,7.58,3.75,3,-25.092037,28.12282
5040,ds005289,sub-008,6,9.44,3.75,2,37.242085,-31.970814
5041,ds005289,sub-008,7,9.07,3.75,0,46.64848,5.249472
5042,ds005289,sub-008,8,9.64,3.75,0,29.87376,-3.6549282
5043,ds005289,sub-008,9,9.58,3.75,2,-0.15663008,-1.5280627
5044,ds005289,sub-009,0,6.0,3.75,2,15.91063,-27.522675
5045,ds005289,sub-009,1,7.87,3.75,0,28.950735,0.11606823
5046,ds005289,sub-009,2,6.92,3.75,2,6.733226,-5.332184
5047,ds005289,sub-009,3,1.81,3.75,2,11.794579,-18.890535
5048,ds005289,sub-009,4,6.69,3.75,0,66.45439,12.987217
5049,ds005289,sub-009,5,8.24,3.75,0,34.51675,0.8673194
5050,ds005289,sub-009,6,5.03,3.75,0,35.24729,1.0246288
5051,ds005289,sub-009,7,7.91,3.75,0,49.04825,20.452587
5052,ds005289,sub-010,0,5.01,4.25,3,23.184664,24.558893
5053,ds005289,sub-010,1,4.0,4.25,0,78.77197,20.130264
5054,ds005289,sub-010,2,5.02,4.25,0,63.02016,14.817939
5055,ds005289,sub-010,3,4.7,4.25,0,80.481125,-5.354359
5056,ds005289,sub-010,4,5.02,4.25,3,35.57732,38.481487
5057,ds005289,sub-010,5,3.99,4.25,0,59.12002,-17.146454
5058,ds005289,sub-010,6,5.32,4.25,0,67.449265,7.2723727
