k,inertia,silhouette
1,182650.97952415817,
2,139966.49415349375,
3,126597.20084001929,
4,119445.22737114623,
5,114023.92093425206,
6,107820.95458648555,
7,103109.4298113646,
8,99730.85572288974,
9,97046.19581633095,
10,94133.18849064744,
