split,fold,train_epochs,test_epochs,train_subjects,test_subjects,test_datasets,candidate_k,normalized_elbow_gap,knn_cluster_agreement,majority_cluster_agreement,adjusted_rand_agreement
subject_held_out,1,8271,2069,230,61,"ds005280,ds005289,ds005473",3,0.41365392266985246,0.944417593040116,0.42580956984050267,0.8308976004243541
subject_held_out,2,8275,2065,234,57,"ds005280,ds005289,ds005473",3,0.411026506984297,0.9409200968523003,0.45036319612590797,0.8243721100986902
subject_held_out,3,8269,2071,233,58,"ds005280,ds005289,ds005473",3,0.41030102530872725,0.9444712699179141,0.4041525832930951,0.8375105869046534
subject_held_out,4,8269,2071,233,58,"ds005280,ds005289,ds005473",3,0.4146582299154587,0.9478512795750845,0.4345726702076292,0.8500633775738685
subject_held_out,5,8276,2064,234,57,"ds005280,ds005289,ds005473",3,0.40180682913576565,0.9578488372093024,0.42829457364341084,0.8750353729386449
dataset_held_out,1,4065,6275,68,223,ds005280,3,0.40265765477842463,0.9266932270916335,0.2764940239043825,0.7860913398559307
dataset_held_out,2,9968,372,252,39,ds005289,3,0.4135404881836693,0.9166666666666666,0.44623655913978494,0.752649165936995
dataset_held_out,3,6647,3693,262,29,ds005473,3,0.4023335422949116,0.9577579203899269,0.36826428378012455,0.8709061047141999
