dataset,cluster,count,median,mean,std,min,max
ds005280,0,1778,4.0,4.433070866141732,2.2652640415341616,0.0,10.0
ds005280,1,2792,6.0,5.840974212034384,2.0682888821649548,0.0,10.0
ds005280,2,1705,4.0,4.576539589442815,1.9903319112959714,0.0,10.0
ds005289,0,74,6.025,6.222162162162162,1.6360713638438213,2.12,9.97
ds005289,1,224,6.075,6.476875,1.7342632771150333,1.99,9.99
ds005289,2,72,5.6,5.891666666666667,1.7343944025687963,1.81,9.58
ds005473,0,1608,4.0,3.7774569612251243,2.124470827634325,0.0,10.0
ds005473,1,961,7.0,6.951925078043705,2.128898125254985,0.0,10.0
ds005473,2,1124,4.0,4.2096085409252675,2.182153842941322,0.0,10.0
