k,inertia,silhouette
1,27727228.0,
2,13889789.0,0.42085960507392883
3,9873416.0,0.37545573711395264
4,6965480.5,0.38686633110046387
5,5571271.5,0.3641505241394043
6,4745156.5,0.34262779355049133
7,4009695.5,0.3608090281486511
8,3421411.5,0.3587205111980438
9,3060576.25,0.3567627966403961
10,2736142.0,0.3565138876438141
