dataset,cluster,count,median,mean,std,min,max
ds005280,0,1899,6.0,6.005265929436545,2.014168378632862,0.0,10.0
ds005280,1,1408,5.0,5.083096590909091,2.265478653956081,0.0,10.0
ds005280,2,1562,4.5,4.766325224071703,2.018128712967828,0.0,10.0
ds005280,3,1406,4.0,4.258179231863442,2.1662702155679106,0.0,10.0
ds005289,0,153,6.23,6.487385620915033,1.837537601205622,1.99,9.99
ds005289,1,94,6.005,6.326595744680851,1.5455698418045287,3.02,9.97
ds005289,2,75,6.02,6.162133333333333,1.694749677229197,1.81,9.58
ds005289,3,48,5.995,5.9589583333333325,1.7182948494703436,2.03,9.05
ds005473,0,661,7.5,7.314372163388805,1.9383113020639355,0.0,10.0
ds005473,1,608,4.5,4.655346700082236,2.5114955300548742,0.0,10.0
ds005473,2,958,4.5,4.698016701461378,2.309094787453044,0.0,10.0
ds005473,3,1466,4.0,3.629331514324693,1.9988048894949617,0.0,9.0
