k,inertia,silhouette
1,182478.9732944136,
2,139360.68028848083,
3,126067.69291393764,
4,119224.87694472917,
5,113644.41549167957,
6,107804.71539538172,
7,103093.79581865373,
8,99315.43891642247,
9,96230.96676345944,
10,93764.71528423071,
