source_row,dataset,subject,epoch,rating,laser_power,cluster,component_1,component_2
4966,ds005289,sub-001,0,4.89,4.25,1,-36.711308,7.2580795
4967,ds005289,sub-001,1,5.74,4.25,0,19.970213,12.7621155
4968,ds005289,sub-001,2,5.44,4.25,0,-15.655488,9.706185
4969,ds005289,sub-001,3,5.78,4.25,0,-0.07748766,15.661181
4970,ds005289,sub-001,4,4.87,4.25,0,12.253548,23.120829
4971,ds005289,sub-001,5,7.84,4.25,0,23.217268,6.684902
4972,ds005289,sub-001,6,7.34,4.25,1,-39.130375,10.242227
4973,ds005289,sub-001,7,4.58,4.25,0,-7.7900753,11.901684
4974,ds005289,sub-001,8,5.85,4.25,0,19.596401,24.348621
4975,ds005289,sub-001,9,4.83,4.25,0,-3.2132187,4.781078
4976,ds005289,sub-002,0,,3.0,0,-6.5702534,-11.390797
4977,ds005289,sub-002,1,3.64,3.0,0,-4.7844453,-10.034362
4978,ds005289,sub-002,2,5.88,3.0,2,22.37278,-23.493092
4979,ds005289,sub-002,3,7.39,3.0,0,12.916608,21.102388
4980,ds005289,sub-002,4,5.02,3.0,1,-35.412678,-25.559477
4981,ds005289,sub-002,5,6.02,3.0,1,-42.957687,0.9119036
4982,ds005289,sub-002,6,8.33,3.0,0,17.685774,41.68717
4983,ds005289,sub-002,7,7.03,3.0,0,2.7695446,20.137655
4984,ds005289,sub-002,8,7.46,3.0,0,10.618039,33.986
4985,ds005289,sub-002,9,3.58,3.0,0,-13.877345,18.001759
4986,ds005289,sub-003,0,7.68,3.5,0,14.556437,13.344144
4987,ds005289,sub-003,1,7.97,3.5,2,27.448233,-23.067783
4988,ds005289,sub-003,2,9.29,3.5,2,45.47455,12.207578
4989,ds005289,sub-003,3,2.08,3.5,2,55.13776,-18.91344
4990,ds005289,sub-003,4,4.08,3.5,2,51.6101,18.092451
4991,ds005289,sub-003,5,7.26,3.5,2,34.69972,-2.761268
4992,ds005289,sub-003,6,5.24,3.5,2,35.058727,22.172995
4993,ds005289,sub-003,7,8.34,3.5,2,50.865566,17.77887
4994,ds005289,sub-003,8,6.49,3.5,2,29.171722,3.1336772
4995,ds005289,sub-003,9,6.85,3.5,2,28.099068,4.8594265
4996,ds005289,sub-004,0,9.89,3.5,2,68.75454,18.873814
4997,ds005289,sub-004,1,9.27,3.5,2,26.284197,-27.431574
4998,ds005289,sub-004,2,7.6,3.5,2,45.895596,-0.10507944
4999,ds005289,sub-004,3,8.55,3.5,2,28.687624,-20.685595
5000,ds005289,sub-004,4,7.27,3.5,2,26.338343,-27.213762
5001,ds005289,sub-004,5,9.24,3.5,2,38.93462,12.427676
5002,ds005289,sub-004,6,8.21,3.5,2,24.981411,-4.9563227
5003,ds005289,sub-004,7,9.3,3.5,2,33.114685,-28.22867
5004,ds005289,sub-004,8,7.85,3.5,2,26.040743,-27.59788
5005,ds005289,sub-004,9,9.15,3.5,2,22.698868,-27.06827
5006,ds005289,sub-005,0,4.99,3.0,0,13.437677,-15.021262
5007,ds005289,sub-005,1,4.49,3.0,0,-0.4825626,-23.706621
5008,ds005289,sub-005,2,3.15,3.0,0,-5.6769757,-27.154024
5009,ds005289,sub-005,3,5.02,3.0,2,29.446756,5.9125705
5010,ds005289,sub-005,4,3.02,3.0,0,-3.847334,-34.810955
5011,ds005289,sub-005,5,5.06,3.0,0,-9.13234,-34.284386
5012,ds005289,sub-005,6,6.0,3.0,2,24.274168,-11.920598
