k,inertia,silhouette
1,20099508.0,
2,8267804.0,0.48163700103759766
3,6170534.0,0.37138575315475464
4,4605496.0,0.3851374387741089
5,3632570.5,0.37571680545806885
6,2915116.0,0.37757617235183716
7,2525366.0,0.36670586466789246
8,2237383.5,0.355803906917572
9,1988810.125,0.3522137701511383
10,1773448.0,0.35830768942832947
