dataset,cluster,count,median,mean,std,min,max
ds005280,0,1778,3.5,3.463723284589426,0.3445125350505963,3.0,4.0
ds005280,1,2792,3.5,3.563395415472779,0.3565324318226236,3.0,4.0
ds005280,2,1705,3.5,3.435483870967742,0.339499792402506,3.0,4.0
ds005289,0,74,3.5,3.425675675675676,0.4048713006439871,2.75,4.5
ds005289,1,225,3.5,3.568888888888889,0.40051430230293444,2.75,4.5
ds005289,2,73,3.5,3.4452054794520546,0.5038852095606728,2.75,4.5
ds005473,0,1608,2.0,2.078202736318408,0.7582684668183007,1.0,4.25
ds005473,1,961,3.5,3.436004162330905,0.6455490686095495,1.0,4.5
ds005473,2,1124,2.25,2.272464412811388,0.8203474675806012,1.0,4.25
