source_row,dataset,subject,epoch,rating,laser_power,cluster,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15
4966,ds005289,sub-001,0,4.89,4.25,2,-1.9808485000954368,0.597755849594416,-1.1339450793530643,-0.9838201917231764,0.010118795108136399,0.030206327259776174,-0.003809876956510798,0.24128375106613692,-0.736633700082686,0.21807525232205632,1.3557430666788102,0.9397349131409816,-0.49464645326624357,0.4886861413107765,-0.053559392805078224
4967,ds005289,sub-001,1,5.74,4.25,0,0.5880687780250806,-1.4393386553617329,1.543468827054248,-1.2364755796495428,0.6426665270168326,-2.2464862619239425,0.31304819646088194,1.4024106766870208,0.20914906546147632,0.5045193532546409,-0.18271010564559892,0.5665333394581505,0.6982960493321834,-0.03148885049961669,-0.38342472199543853
4968,ds005289,sub-001,2,5.44,4.25,0,-1.1406964000381905,-0.6315618004122465,2.107520577381501,-0.23386075983600954,0.7087962278382136,-0.43428644616362644,-0.073267404935254,-0.3960345800430791,0.04531306904021229,0.6888492323615667,0.31730926117664426,-0.21589700563666533,0.30841145979136775,-0.4560890245159451,-0.891426337219204
4969,ds005289,sub-001,3,5.78,4.25,0,-0.6566885327140703,-1.5078128106291218,-0.8176254143812793,0.02225982313830679,0.5058147551560038,-1.448317772368706,0.19244433999402868,-0.28044691956705925,0.12018431453054611,-0.1344702592439849,-0.09088214833784423,-0.8050969132245491,-0.19944903925768015,0.14755991357788223,-0.2837568033751861
4970,ds005289,sub-001,4,4.87,4.25,0,0.7441066353499207,-1.8227961170133973,-0.6799840289061367,1.0929242300688875,0.894718977525327,-1.4274386544520157,-0.012479845934620875,0.45204386301663246,-0.5412910609859711,0.7105331942326819,-0.5886484168915237,0.555167448190909,0.16049634522364137,0.06219199973865278,-0.24960198841626363
4971,ds005289,sub-001,5,7.84,4.25,0,0.6627938663504801,-1.8279955882800383,3.5049383230770177,-0.19486665694823344,0.2325942564044934,-0.19819081650711642,0.14753288412847296,1.2497221206336386,0.33735100327185696,0.25592546083575407,1.7567253541580188,0.5194229457807643,1.1118330171085167,0.37946509332367984,0.38899854948189366
4972,ds005289,sub-001,6,7.34,4.25,2,-1.7366214711034407,-0.30638454749185834,0.3431785571824329,-1.2187426070803238,0.32031429292643454,-1.7310963927941687,0.394370689910337,0.1286032832284949,0.9052688606168203,0.18952864968713198,0.3441965556172854,0.589522991630101,-0.19999320747464763,0.06977525723538343,0.4551823581989358
4973,ds005289,sub-001,7,4.58,4.25,0,-0.6617150308701533,-1.4178709230772704,0.9302231746874393,1.0021416071735842,-0.07633583251172323,-0.7957588066918481,0.2917552535148072,0.8699044738769043,0.641297705228666,-0.8842730714562076,0.891614087679339,-0.6361149585279471,-0.11141839663628404,0.05092530652303247,-0.5178659728542443
4974,ds005289,sub-001,8,5.85,4.25,0,0.028905223571536923,-1.7549920155148249,1.3142200040077308,0.23203672330662642,0.9323326848115936,-0.35165655675583235,-0.06777326892997948,1.2641711420487267,-0.21952108950613997,0.6048681139056391,0.8353881078428556,0.38156908435665104,0.7936337745657384,0.6856847780061897,0.40973687162518047
4975,ds005289,sub-001,9,4.83,4.25,0,-0.8942984805133357,-1.8620255553334528,-0.4535863621828342,0.11625364992111857,0.30639041413179346,-0.839401439758377,0.21736928797580105,-1.2056212645150626,0.10772674266136201,-1.6842124302445178,1.6541419345760624,0.15817689612256206,-0.7216865756664722,0.20570851578802732,-0.007371486883281928
