dataset,cluster,count,median,mean,std,min,max
ds005280,0,2073,5.0,4.795465508924265,2.0308049186606594,0.0,10.0
ds005280,1,1880,4.0,4.368085106382979,2.2220153851128046,0.0,10.0
ds005280,2,2322,6.0,5.960378983634798,2.060936701834356,0.0,10.0
ds005289,0,110,6.005,6.127000000000001,1.7014934346793347,1.81,9.97
ds005289,1,67,6.0,6.070746268656716,1.6470619511750584,2.03,9.05
ds005289,2,193,6.08,6.501295336787565,1.752834276497227,1.99,9.99
ds005473,0,1171,4.6,4.723591286784799,2.374734174184174,0.0,10.0
ds005473,1,1802,4.0,3.7285379560627083,2.0568717106141636,0.0,10.0
ds005473,2,720,7.5,7.272777777777777,1.965978522261185,0.0,10.0
