k,inertia,silhouette
1,182499.62226749014,
2,140559.2720126966,
3,127337.34506334846,
4,120581.98366867602,
5,114950.6785015875,
6,109691.71123827074,
7,103954.19918884356,
8,100555.7798317403,
9,97284.82539049376,
10,94102.65247241463,
