source_row,dataset,subject,epoch,rating,laser_power,cluster,component_1,component_2
4966,ds005289,sub-001,0,4.89,4.25,1,-24.224915,27.645565
4967,ds005289,sub-001,1,5.74,4.25,2,21.05909,-1.7981648
4968,ds005289,sub-001,2,5.44,4.25,1,-17.619017,18.25737
4969,ds005289,sub-001,3,5.78,4.25,2,-0.8933915,-1.4558213
4970,ds005289,sub-001,4,4.87,4.25,2,17.930634,-30.74425
4971,ds005289,sub-001,5,7.84,4.25,2,22.574106,-13.489759
4972,ds005289,sub-001,6,7.34,4.25,1,-29.165113,24.127407
4973,ds005289,sub-001,7,4.58,4.25,2,-4.7203717,-34.785645
4974,ds005289,sub-001,8,5.85,4.25,2,23.873762,-21.125832
4975,ds005289,sub-001,9,4.83,4.25,2,-6.884313,-20.802889
4976,ds005289,sub-002,0,,3.0,2,-3.0276382,-49.474632
4977,ds005289,sub-002,1,3.64,3.0,1,-6.619184,38.698048
4978,ds005289,sub-002,2,5.88,3.0,1,5.7876744,45.97147
4979,ds005289,sub-002,3,7.39,3.0,2,18.466124,-27.186699
4980,ds005289,sub-002,4,5.02,3.0,3,-48.455685,-17.730057
4981,ds005289,sub-002,5,6.02,3.0,3,-42.448193,1.8740377
4982,ds005289,sub-002,6,8.33,3.0,2,28.247318,-44.839027
4983,ds005289,sub-002,7,7.03,3.0,2,3.5612853,-46.776104
4984,ds005289,sub-002,8,7.46,3.0,2,15.867821,-46.15476
4985,ds005289,sub-002,9,3.58,3.0,2,-13.236251,-8.479354
4986,ds005289,sub-003,0,7.68,3.5,0,25.21338,-1.4510605
4987,ds005289,sub-003,1,7.97,3.5,1,12.051847,49.18422
4988,ds005289,sub-003,2,9.29,3.5,0,56.757397,-10.3435
4989,ds005289,sub-003,3,2.08,3.5,0,47.125908,35.942196
4990,ds005289,sub-003,4,4.08,3.5,0,61.606705,-5.791666
4991,ds005289,sub-003,5,7.26,3.5,0,35.300358,8.842309
4992,ds005289,sub-003,6,5.24,3.5,0,40.414913,-12.2072735
4993,ds005289,sub-003,7,8.34,3.5,0,61.916504,-6.281966
4994,ds005289,sub-003,8,6.49,3.5,0,31.187332,-0.015867678
4995,ds005289,sub-003,9,6.85,3.5,0,28.85692,-1.7400879
