dataset,cluster,count,median,mean,std,min,max
ds005280,0,2676,3.5,3.4897234678624813,0.3570216336104523,3.0,4.0
ds005280,1,1498,3.5,3.572429906542056,0.35568796899722405,3.0,4.0
ds005280,2,2101,3.5,3.4626368396001905,0.3389879839903129,3.0,4.0
ds005289,0,165,3.5,3.5166666666666666,0.4742880843874002,2.75,4.5
ds005289,1,122,3.5,3.598360655737705,0.37144649271682795,3.0,4.25
ds005289,2,85,3.5,3.3970588235294117,0.3805034995440465,2.75,4.5
ds005473,0,1414,3.0,2.8207213578500707,0.9183502640672456,1.0,4.5
ds005473,1,340,3.75,3.602205882352941,0.4487309065731583,1.0,4.5
ds005473,2,1939,2.0,2.0550541516245486,0.7408490475849822,1.0,4.0
