dataset,cluster,count,median,mean,std,min,max
ds005280,0,1899,3.5,3.5716166403370195,0.35578919602704445,3.0,4.0
ds005280,1,1408,3.5,3.4857954545454546,0.3543976030469481,3.0,4.0
ds005280,2,1562,3.5,3.4692701664532652,0.35118994934186576,3.0,4.0
ds005280,3,1406,3.5,3.4534139402560453,0.33608443809249905,3.0,4.0
ds005289,0,154,3.5,3.5876623376623376,0.39866245687296664,2.75,4.5
ds005289,1,94,3.5,3.523936170212766,0.4181197494907498,2.75,4.5
ds005289,2,76,3.5,3.4967105263157894,0.4941211407685224,2.75,4.5
ds005289,3,48,3.25,3.3020833333333335,0.3533966389160531,2.75,4.5
ds005473,0,661,3.75,3.5533282904689862,0.5368012410241834,1.0,4.5
ds005473,1,608,2.5,2.4983552631578947,0.8975514516401173,1.0,4.25
ds005473,2,958,2.5,2.4958246346555324,0.8831159204093666,1.0,4.5
ds005473,3,1466,2.0,2.004945429740791,0.7144422611102494,1.0,4.0
