k,inertia,silhouette
1,182497.53070684412,
2,140656.39244637743,
3,127557.37827223164,
4,120812.38153235306,
5,115209.54206350581,
6,109771.89369348547,
7,105072.7029329366,
8,100707.93995066194,
9,98135.89110937482,
10,95638.82211538756,
