k,inertia,silhouette
1,146605.53665924733,
2,113728.55396531904,
3,103132.51362137284,
4,97823.34411470305,
5,93317.94227672018,
6,88926.02921343435,
7,84428.2467522056,
8,81681.46256643289,
9,78878.85419709652,
10,76999.22524927255,
