k,inertia,silhouette
1,182128.290071212,
2,140464.88776913448,
3,127486.30811948958,
4,120578.78602592615,
5,115073.44192632644,
6,110208.60575802933,
7,105270.50540403288,
8,101574.76849663936,
9,99135.05103691434,
10,96331.99695479224,
