k,inertia,silhouette
1,228038.21804343554,
2,175285.36535773156,0.24400464524188845
3,158840.41827956046,0.15350343355275414
4,150268.61674957824,0.10894289675812757
5,143533.91101387056,0.11070152269414607
6,137089.92601148086,0.10985517082528808
7,132576.2194611319,0.10208931051368005
8,125961.16048828862,0.10474768629917212
9,122312.84254908355,0.10814768580341921
10,119716.54345305613,0.08614535495456659
