k,inertia,silhouette
1,89583.81564972135,
2,68702.22260498944,
3,62309.70151085213,
4,58526.67619866568,
5,55633.974055141385,
6,53167.244837298356,
7,50423.12987495852,
8,48467.97394197171,
9,47159.485853780825,
10,45936.84421933716,
