dataset,cluster,count,median,mean,std,min,max
ds005280,0,2676,5.0,5.117713004484305,2.0768344354736468,0.0,10.0
ds005280,1,1498,6.0,6.063417890520694,2.008827429675861,0.0,10.0
ds005280,2,2101,4.0,4.386006663493575,2.2422298208433897,0.0,10.0
ds005289,0,163,6.02,6.330552147239264,1.6761589878382044,1.81,9.97
ds005289,1,122,6.05,6.355081967213115,1.8335032835385132,1.99,9.99
ds005289,2,85,6.04,6.214823529411764,1.6765189358599317,2.03,9.69
ds005473,0,1414,5.0,5.339179632248939,2.439395561724855,0.0,10.0
ds005473,1,340,8.0,7.870588235294117,1.6956528509726352,0.0,10.0
ds005473,2,1939,4.0,3.74468839280557,2.0714184467383894,0.0,10.0
