window_seconds,trained_on_dataset,held_out_dataset,state_count,coverage,assignment_entropy,mean_heldout_log_likelihood,mean_posterior_confidence
2,ds005284,eegmmidb,2,0.23549073230021267,0.9988455359952013,-61.51675500521696,0.9932733936585232
2,eegmmidb,ds005284,3,0.66875,0.9225198669674769,-33.81017126178987,0.9684766323319584
4,ds005284,eegmmidb,4,0.165058405281869,0.6811473324409363,-66.19201315344732,0.9858182751430951
4,eegmmidb,ds005284,4,0.5770833333333334,0.549214773488128,-38.900892887847384,0.9782034469152755
8,ds005284,eegmmidb,3,0.18031088082901559,0.3805471821281344,-59.26730748087459,0.9920174474185487
8,eegmmidb,ds005284,2,0.7341463414634146,0.36505518964028427,-35.80126840024304,0.9931153370133867
