k,inertia,silhouette
2,13349691.0,0.4289990961551666
3,9556221.0,0.38617074489593506
4,6735378.5,0.3912147283554077
5,5381965.5,0.370062917470932
6,4575082.5,0.3544894754886627
7,3931998.75,0.36365288496017456
8,3327647.25,0.3662436604499817
9,2962564.0,0.35689258575439453
10,2656420.5,0.3583822548389435
