state,n_epochs,n_subjects,mean_rating,std_rating,mean_laser_power,pct_epochs
0,2072,178,4.012364864864865,2.1719098232054304,2.7458976833976836,20.038684719535784
1,1944,192,4.168625836335564,2.081645183235916,2.79809670781893,18.800773694390717
2,2084,212,4.9586568107725535,2.3171103911229265,3.173704414587332,20.154738878143135
3,2062,203,5.43078564500485,2.1597842236886233,3.3609359844810864,19.941972920696326
4,2178,199,6.370983004134129,2.0662593520004693,3.5802341597796143,21.06382978723404
