dataset,subject,epoch,rating,laser_power,tsne_1,tsne_2,state,knn_predicted_state
ds005289,sub-010,4,5.02,4.25,39.637447,45.911648,4,4
ds005289,sub-010,5,3.99,4.25,55.682713,-6.2624927,4,4
ds005289,sub-010,6,5.32,4.25,67.879684,2.7234771,4,4
ds005289,sub-010,7,4.72,4.25,60.795197,35.274963,4,4
ds005289,sub-010,8,4.18,4.25,69.82547,32.055477,4,4
ds005289,sub-010,9,4.52,4.25,47.332996,46.70491,4,4
ds005289,sub-011,0,5.32,3.25,-76.61748,6.1226487,0,0
ds005289,sub-011,1,4.11,3.25,-82.22961,-1.4502926,0,0
ds005289,sub-011,2,5.16,3.25,-74.643616,18.97119,0,0
ds005289,sub-011,3,6.9,3.25,-82.33481,-1.3279722,0,0
ds005289,sub-011,4,4.18,3.25,-76.206215,-0.79164195,0,0
ds005289,sub-011,5,5.65,3.25,-66.684425,30.582794,0,0
ds005289,sub-011,6,6.65,3.25,-78.44069,-3.0383687,0,0
ds005289,sub-011,7,2.12,3.25,-71.45325,17.829222,0,0
ds005289,sub-011,8,7.58,3.25,-62.053303,2.4764128,0,0
ds005289,sub-011,9,4.85,3.25,-47.147118,-7.0185146,0,0
ds005289,sub-012,0,5.03,3.5,74.13429,13.769326,4,4
ds005289,sub-012,1,6.61,3.5,77.722404,12.811231,4,4
ds005289,sub-012,2,4.51,3.5,24.665504,32.76778,2,2
ds005289,sub-012,3,6.77,3.5,80.40148,16.02358,4,4
ds005289,sub-012,4,7.21,3.5,87.099304,11.639049,4,4
ds005289,sub-012,5,6.33,3.5,78.180664,13.944717,4,4
ds005289,sub-012,6,5.57,3.5,77.95568,14.989991,4,4
ds005289,sub-012,7,7.04,3.5,78.429184,14.021023,4,4
ds005289,sub-012,8,6.9,3.5,81.99112,10.236773,4,4
ds005289,sub-012,9,6.62,3.5,77.95035,15.59584,4,4
ds005289,sub-013,0,5.03,3.25,13.174078,52.65066,2,2
ds005289,sub-013,1,5.91,3.25,67.721695,3.37264,4,4
ds005289,sub-013,2,4.7,3.25,50.610043,-3.606369,4,4
ds005289,sub-013,3,6.45,3.25,70.27238,5.0498447,4,4
ds005289,sub-013,4,3.35,3.25,-62.99829,36.770702,0,0
ds005289,sub-013,5,7.04,3.25,84.127106,14.343948,4,4
ds005289,sub-013,6,7.05,3.25,20.066471,35.456448,2,2
ds005289,sub-013,7,7.6,3.25,39.81446,28.451176,4,4
ds005289,sub-013,8,6.06,3.25,14.660924,10.15348,2,2
ds005289,sub-014,0,1.99,3.5,52.20504,-23.736036,3,3
ds005289,sub-014,1,5.04,3.5,65.31407,15.612188,4,4
ds005289,sub-014,2,7.03,3.5,54.583317,0.61530375,4,4
ds005289,sub-014,3,6.01,3.5,5.6616955,55.9949,2,2
ds005289,sub-014,4,4.02,3.5,74.41624,-1.5680966,4,4
ds005289,sub-014,5,8.02,3.5,63.890575,23.763214,4,4
ds005289,sub-014,6,6.07,3.5,76.38174,-1.1617578,4,4
ds005289,sub-014,7,3.03,3.5,1.1204325,-4.6493044,3,3
ds005289,sub-014,8,6.05,3.5,78.55294,-6.4353456,4,4
ds005289,sub-014,9,7.06,3.5,76.08146,0.6771831,4,4
