dataset,subject,epoch,vertex_channel,sfreq,n2_amp,n2_lat,p2_amp,p2_lat,n2p2_amp,gamma_power,gamma_band_hz,alpha_erd_pct,beta_erd_pct,psd_delta,psd_theta,psd_alpha,psd_beta,psd_gamma,plv_Fz-Cz,plv_Cz-Pz,plv_C3-C4,perm_entropy,spectral_entropy,sample_entropy,higuchi_fd,dfa,hjorth_mobility,hjorth_complexity,rating,laser_power
ds005473,sub-001,0,Cz,1000.0,-12.774205207824707,0.303,-0.3208808898925781,0.358,12.453324317932129,0.05569211745452482,30.0-100.0,,8.849380737624875,0.0,0.0,0.0,1.5284492110367864,0.07645403047880057,0.6674364072992097,0.11140002080684593,0.13337030184236756,0.49484522170228973,0.36529586951314347,0.1668011250939762,1.0223213718127484,1.791269626488522,0.04755876,2.5418766,,
ds005473,sub-001,1,Cz,1000.0,-4.920709133148193,0.337,1.2428810596466064,0.403,6.1635901927948,0.04230099543097148,30.0-100.0,,-10.665349944832393,0.0,0.0,0.0,1.5469707432202995,0.1329399533269342,0.498749466735486,0.4077739664842415,0.35230512351946236,0.49750362597912295,0.35459570185365213,0.20941268852947412,1.033622750955608,1.7488859093762628,0.063464284,2.157049,,
ds005473,sub-001,2,Cz,1000.0,-15.6651611328125,0.189,29.72693634033203,0.355,45.39209747314453,0.18670937046523506,30.0-100.0,,-62.82034103511123,0.0,0.0,0.0,1.8265544204041362,0.10034610040171588,0.192771003370097,0.18273578597443943,0.29740418426827564,0.4828692409178078,0.2920907558762596,0.0861101737264882,1.014811463862152,1.8939857514955303,0.031210823,3.1255467,,
ds005473,sub-001,3,Cz,1000.0,-9.54866886138916,0.154,9.255111694335938,0.429,18.803780555725098,0.008238050327526907,30.0-100.0,,-166.00097401447294,0.0,0.0,0.0,0.9411743085365742,0.0965589743326359,0.3741003048200093,0.13535113705622767,0.2218319482429207,0.506537845855125,0.33827998420215916,0.18051779681563657,1.037872050436235,1.755723691631695,0.056972213,2.486703,,
ds005473,sub-001,4,Cz,1000.0,-15.856337547302246,0.213,8.749604225158691,0.329,24.605941772460938,0.12503378284164318,30.0-100.0,,-22.301061275541,0.0,0.0,0.0,1.0471558780409396,0.15156056873700738,0.7162606229098436,0.162057154685483,0.17356994017087182,0.5121327339877368,0.31291422665461227,0.14230134843654163,1.0293996147310323,1.8327448498123293,0.044877935,2.8568125,,
ds005473,sub-001,5,Cz,1000.0,-10.113750457763672,0.171,7.204644680023193,0.384,17.318395137786865,0.07085184274620435,30.0-100.0,,-225.1411398372761,0.0,0.0,0.0,1.5071617090143263,0.08681734234352667,0.5559229416507071,0.32109067466111396,0.3834402681512365,0.4813125118633109,0.32635492435386293,0.16028778942122668,1.0180357337256358,1.8476731084784659,0.047561493,2.3879435,,
ds005473,sub-001,6,Cz,1000.0,-10.202665328979492,0.321,1.3989200592041016,0.512,11.601585388183594,0.20693692920508788,30.0-100.0,,-520.8323498873507,0.0,0.0,0.0,1.1229913507122546,0.09906763852379849,0.3023048434827175,0.2932016830902477,0.08803526513505602,0.505310413734354,0.3645821377649012,0.16600005583354033,1.034985062318698,1.7052166185316342,0.052224156,2.735793,,
ds005473,sub-001,7,Cz,1000.0,-11.117056846618652,0.15,13.73077392578125,0.365,24.847830772399902,0.17556263936377955,30.0-100.0,,-817.0105585359698,0.0,0.0,0.0,1.571571483509615,0.08531525449084233,0.490246720321142,0.4537274217029405,0.3063514999124957,0.4969477403082241,0.346656695056611,0.1386079622890153,1.0225158939651866,1.8189564165222347,0.049125597,2.3762016,,
ds005473,sub-001,8,Cz,1000.0,-16.13088607788086,0.201,19.896129608154297,0.326,36.027015686035156,0.05325551962657299,30.0-100.0,,-10.338656465580067,0.0,0.0,0.0,1.6865769866853952,0.05737833880414475,0.6243806647135042,0.3648126329255659,0.41969968337111285,0.47316304439796103,0.2877065308203747,0.10496680587340303,1.0132816587867692,1.9088987325804214,0.038171884,2.6964455,,
ds005473,sub-001,9,Cz,1000.0,-8.052474021911621,0.349,-0.06306314468383789,0.323,7.989410877227783,0.09071698627242378,30.0-100.0,,50.866008158998945,0.0,0.0,0.0,1.2233245943207294,0.10413592316806802,0.46374465195827697,0.508262418957517,0.49559774374421883,0.49774647766216196,0.3369738063110927,0.12302003606302635,1.0230422067533624,1.8600955110924642,0.042815212,2.6007218,,
