dataset,subject,epoch,vertex_channel,sfreq,n2_amp,n2_lat,p2_amp,p2_lat,n2p2_amp,gamma_power,gamma_band_hz,alpha_erd_pct,beta_erd_pct,psd_delta,psd_theta,psd_alpha,psd_beta,psd_gamma,plv_Fz-Cz,plv_Cz-Pz,plv_C3-C4,perm_entropy,spectral_entropy,sample_entropy,higuchi_fd,dfa,hjorth_mobility,hjorth_complexity,rating,laser_power
ds005289,sub-001,0,Cz,1000.0,-4.169558048248291,0.179,13.335784912109375,0.461,17.505342960357666,0.004710296485527582,30.0-100.0,-441.4859123070127,-517.939000343991,2.0614768834278134,2.3967588649076568,1.3189934665434362,4.875826749632282,0.0614129075278902,0.6278521221598414,0.5031203743752786,0.39367423254219797,0.49516243090935064,0.38900741859343707,0.20775212091733497,1.0244374809880477,1.7833169629866028,0.06382278,1.9561961,4.89,4.25
ds005289,sub-001,1,Cz,1000.0,-13.596090316772461,0.238,18.17373275756836,0.346,31.76982307434082,0.005601888740549188,30.0-100.0,-97.04197608204372,-112.04723371948914,15.797871199088144,11.277511302427232,0.9369066235227927,2.0021206216595147,0.0067084099606499305,0.888127220637646,0.05486989228320018,0.36187778383685687,0.5056048141541338,0.3063776002773937,0.09928081935505803,1.0281710038414158,1.8080222271818363,0.037422422,3.3403163,5.74,4.25
ds005289,sub-001,2,Cz,1000.0,-8.934525489807129,0.211,9.660654067993164,0.395,18.595179557800293,0.11128638271617286,30.0-100.0,91.49684128480807,29.401482640067,6.679203613484475,5.140729207177538,0.3214401258083348,0.9393589519435637,0.11462348045043731,0.5675987795550924,0.36238340503920774,0.17963091403457243,0.516600687327862,0.2911710085760527,0.15179155916084835,1.029201375469022,1.8072001400126303,0.04751087,2.9227502,5.44,4.25
ds005289,sub-001,3,Cz,1000.0,-11.638765335083008,0.237,4.369639873504639,0.405,16.008405208587646,0.012990675494924483,30.0-100.0,-19.741784415488148,42.29196227863184,2.989956462026039,4.042079393130692,1.9481661300548048,0.9563158573241664,0.008899031105912811,0.7003742944409839,0.2083243499311858,0.2614948438141564,0.4854587787443106,0.3201867580292742,0.14860508108736933,1.021885588404859,1.8747459824832517,0.050122373,2.2208972,5.78,4.25
ds005289,sub-001,4,Cz,1000.0,-6.515573501586914,0.291,15.663034439086914,0.374,22.178607940673828,0.019106606823927574,30.0-100.0,-528.0464204598373,-35.0763459611352,5.624304865626463,5.235531221616281,2.5380877622885922,1.0446557076389462,0.06214132886658389,0.8800582904591252,0.3780433864432896,0.37386024015191466,0.4811796388099182,0.2692102673671351,0.13460881123400903,1.0218066796445233,1.9068780491658273,0.040812135,2.5918167,4.87,4.25
ds005289,sub-001,5,Cz,1000.0,-15.520008087158203,0.203,15.114703178405762,0.48,30.634711265563965,0.033062725296818446,30.0-100.0,-2.899474903214662,-100.04572561025662,29.338285211188413,1.458735332372583,0.536933938221185,1.301259228279535,0.1300938997490075,0.6380427115676144,0.35412307321668823,0.383708360339935,0.5089319002104893,0.30454717293022643,0.09014407232137342,1.0307299724549814,1.785047440215235,0.029668305,4.7580414,7.84,4.25
ds005289,sub-001,6,Cz,1000.0,-10.24924087524414,0.216,13.888071060180664,0.417,24.137311935424805,0.00383932130886839,30.0-100.0,-108.1990726608953,76.22873797813784,13.199822090309812,2.8723189886349285,0.6615802992991149,2.4219416805463414,0.04492108329502712,0.722170126322052,0.11479057439346282,0.2216159233027441,0.49305982955871425,0.35869482062648167,0.20631982274901156,1.0311491019352383,1.7457812830697617,0.055104684,2.5158777,7.34,4.25
ds005289,sub-001,7,Cz,1000.0,-11.987090110778809,0.251,5.413185119628906,0.534,17.400275230407715,0.06448197541598673,30.0-100.0,-1263.2771314548368,63.2989677763775,4.386528218361434,8.570608103050375,1.120905256463209,0.9050853178318544,0.10440341420406714,0.5620244389234162,0.17318773203353602,0.40843518052438027,0.4951394085544468,0.30861619161067055,0.11708780260944655,1.0261637900944653,1.8438691229419943,0.04214758,2.905627,4.58,4.25
ds005289,sub-001,8,Cz,1000.0,-11.061686515808105,0.235,11.305169105529785,0.423,22.36685562133789,0.006135828391204053,30.0-100.0,-400.24745524600576,-8.88732246539422,10.491112890042423,3.1899269360151723,0.8600174938302725,1.257240277643705,0.09630356505469166,0.774805504614961,0.4564795840640561,0.46817071252930686,0.4929129027806395,0.3134414147031817,0.1177740815417439,1.0286753268820907,1.7996531402467408,0.03667408,3.7748952,5.85,4.25
ds005289,sub-001,9,Cz,1000.0,2.427337408065796,0.15,8.693828582763672,0.525,6.266491174697876,0.01113084038311103,30.0-100.0,66.14255239706407,0.525980828089145,9.670130023681098,2.3634027561522215,1.0918103299050959,1.2263149187407074,0.06763982481199513,0.4673957098624938,0.19153745475178227,0.24293446033160895,0.4805170194728027,0.31818532746465483,0.1398278617557801,1.0171388763630098,1.8423279918395499,0.04611351,2.475721,4.83,4.25
ds005289,sub-002,0,Cz,1000.0,-14.451827049255371,0.323,2.8500795364379883,0.55,17.30190658569336,0.07512269818396373,30.0-100.0,32.451274467709304,-70.6367204201621,15.569601154221544,10.50169327679802,4.210114082141667,1.9230836848382085,0.22052403103761636,0.6511640962404559,0.6120445004199923,0.24443778004089034,0.4800012771323641,0.31366055697597545,0.17548153266875519,1.02046290483356,1.8678823672364755,0.049459193,2.293716,,3.0
ds005289,sub-002,1,Cz,1000.0,-2.937398672103882,0.301,18.959108352661133,0.497,21.896507024765015,0.10291335388963245,30.0-100.0,-831.7608741396562,-103.92623639553977,4.092284762502113,3.3725657553043,2.3227011191593556,2.208005287555293,0.13232360378907695,0.4635036858342151,0.29678647053434243,0.4080644095017676,0.5076040535967351,0.2964727295900279,0.11540599354198212,1.024371103477784,1.8724872774391226,0.050812103,2.2283812,3.64,3.0
ds005289,sub-002,2,Cz,1000.0,-32.52021789550781,0.331,4.429952621459961,0.41,36.95017051696777,0.1645058686940811,30.0-100.0,-1147.440495585944,-314.73011077987667,14.685338662811176,27.06723525442108,4.665077989559192,4.6208501916449025,0.5093234809565547,0.6927618341848417,0.34541735212595004,0.28560291957135225,0.5122672206738967,0.32131615671524033,0.12387724314115389,1.0253345078170657,1.8497780805036355,0.05177904,2.312552,5.88,3.0
