dataset,subject,epoch,vertex_channel,sfreq,n2_amp,n2_lat,p2_amp,p2_lat,n2p2_amp,gamma_power,gamma_band_hz,alpha_erd_pct,beta_erd_pct,psd_delta,psd_theta,psd_alpha,psd_beta,psd_gamma,plv_Fz-Cz,plv_Cz-Pz,plv_C3-C4,perm_entropy,spectral_entropy,sample_entropy,higuchi_fd,dfa,hjorth_mobility,hjorth_complexity,rating,laser_power
ds005286,sub-001,0,Cz,1000.0,-7.398910999298096,0.161,9.574518203735352,0.55,16.973429203033447,0.06465411723713901,30.0-100.0,45.333655194596204,20.163253148412437,5.953036984645831,2.7327819021375266,0.29067775352416625,1.3979186689466667,0.22791780583894072,0.7043718908879377,0.12060679357957309,0.22038505943471728,0.5180770511021917,0.3811402111981514,0.20298551713493765,1.0349736519478598,1.8086199712018656,0.06270307,2.211622,7,2.25
ds005286,sub-001,1,Cz,1000.0,-5.894631862640381,0.34,7.675580024719238,0.38,13.57021188735962,0.062220744934790705,30.0-100.0,3.7717908602935535,-2.542091266135091,4.184215235524913,7.11685386005702,0.6032274595640608,2.445615273998527,0.09930764054195598,0.6965993981244687,0.013035925104670922,0.6502906818032512,0.49350871164901355,0.3477360109168577,0.2219780113047952,1.0240555767204653,1.7974777083787012,0.06471725,1.8768725,8,2.25
ds005286,sub-001,2,Cz,1000.0,-13.713569641113281,0.276,4.208817481994629,0.536,17.92238712310791,0.043142855451659017,30.0-100.0,65.790269764849,-30.06031887912976,9.785370080505437,5.685802702104606,1.0629018787273954,3.1129164573685832,0.12074306546518984,0.32391117002752295,0.40984927974713636,0.3715317182621893,0.5015650835049721,0.3685890645350586,0.20032434285718775,1.0344402304608071,1.7878550635034653,0.057520185,2.554429,6,2.25
ds005286,sub-001,3,Cz,1000.0,-12.758377075195312,0.319,9.400312423706055,0.55,22.158689498901367,0.1384434450287269,30.0-100.0,88.07019246595834,-21.680678649744024,4.194311111272373,5.484148082669646,1.1988296757527643,3.6782082314959634,0.3503275584630121,0.050878148028035385,0.5717619233115225,0.5913935829702986,0.5054577629705244,0.3693421614425971,0.20178167557014812,1.032914406185249,1.7414914005968691,0.057811692,2.403608,8,2.25
ds005286,sub-001,4,Cz,1000.0,-9.223397254943848,0.206,9.777871131896973,0.361,19.00126838684082,0.23912204222766797,30.0-100.0,-54.32732672568859,-35.4407628433213,4.241212226706789,1.7302975008940191,5.237135320868791,2.1343772164179002,0.171113097264089,0.7197953345761844,0.26568345423907425,0.4298494740296335,0.5031044981086299,0.3513886094019436,0.23148383754165452,1.028795538063042,1.7847085269824072,0.062506594,2.0450592,4,2.25
ds005286,sub-001,5,Cz,1000.0,-7.088829517364502,0.35,1.0368099212646484,0.3,8.12563943862915,0.022082409758084637,30.0-100.0,-173.27127348694225,-174.96178223865246,1.7372672751000136,2.761244674633928,0.892455980065925,1.8914521296615074,0.1700873880363338,0.3068419919426979,0.30668135213360503,0.4537936083992643,0.5204683616215368,0.4136348490687651,0.2263826991544208,1.0445492949570518,1.701446775686084,0.07411507,2.0183496,7,2.25
ds005286,sub-001,6,Cz,1000.0,3.168881893157959,0.15,23.843433380126953,0.55,20.674551486968994,0.022205956618049937,30.0-100.0,-15.063653794941597,-64.53784422543156,6.6076685135954625,2.0013787803321774,6.124846943210681,5.138542271579938,0.09185405643801078,0.5968984302717021,0.5402848308219281,0.211943659991287,0.5064191292082083,0.36585837653499714,0.13013948469810235,1.0314541252242964,1.7898581682094858,0.0411721,3.2733128,9,2.25
ds005286,sub-001,7,Cz,1000.0,-10.052285194396973,0.157,15.348705291748047,0.365,25.40099048614502,0.05341492668426958,30.0-100.0,-58.45359068633803,-327.10421058342706,11.422845287936905,1.05380828385877,2.3004793035864948,2.4323921596898086,0.13949214114959557,0.49079718585619586,0.027640729117697556,0.3143876805054541,0.49300880095016725,0.3498263066476114,0.1936925283460332,1.0234749834544778,1.842246371850262,0.05999742,2.0157487,8,2.25
ds005286,sub-001,8,Cz,1000.0,-4.127684593200684,0.23,16.068632125854492,0.327,20.196316719055176,0.07414513771432052,30.0-100.0,-134.22240116135066,-52.137163915826655,8.307633468763413,6.951579110868497,3.8451320190937737,2.781941804551125,0.06963909816841299,0.8978040013112147,0.2563720852312083,0.21126729844907632,0.5047694038399657,0.3749002360860137,0.2021569506052702,1.0292762199171395,1.7989628505188722,0.056569945,2.208849,7,2.25
ds005286,sub-001,9,Cz,1000.0,-0.38126587867736816,0.154,8.968050003051758,0.363,9.349315881729126,0.029361521647025296,30.0-100.0,74.5146314711354,70.89703281890074,6.488915553500464,4.39268145524172,3.4201726003174757,2.047366441974828,0.056071127185542455,0.286774802458468,0.46790043360556616,0.23024584540694465,0.48507175940290537,0.3919586666934855,0.21471697610678614,1.0216134172780542,1.7949485609110865,0.0655791,1.9467195,7,2.25
