dataset,subject,epoch,vertex_channel,sfreq,n2_amp,n2_lat,p2_amp,p2_lat,n2p2_amp,gamma_power,gamma_band_hz,alpha_erd_pct,beta_erd_pct,psd_delta,psd_theta,psd_alpha,psd_beta,psd_gamma,plv_Fz-Cz,plv_Cz-Pz,plv_C3-C4,plv_FCz-CPz,perm_entropy,spectral_entropy,sample_entropy,higuchi_fd,dfa,hjorth_mobility,hjorth_complexity,rating,laser_power
ds005292,sub-001,0,CZ,1000.0,-2.9902024269104004,0.284,1.9394493103027344,0.373,4.929651737213135,0.051124358283126704,30.0-100.0,56.326576524648395,20.396139230112322,2.6528634850378174,0.6654759358354201,0.45229420148572175,1.44979565277216,0.17515289625309857,0.5940454083499237,0.19079900961093954,0.4082878824939648,0.19609936221218952,0.5078675358892413,0.39898238939356684,0.1757115484522694,1.0341343751333478,1.7491809696573397,0.054015093,2.6715815,4.0,3.0
ds005292,sub-001,1,CZ,1000.0,-5.920961380004883,0.223,10.491911888122559,0.38,16.41287326812744,0.010647753804448382,30.0-100.0,-152.35487289379208,-138.67291259467174,4.829075704271864,2.291427402199968,1.5835339300640414,1.5190902789362128,0.030969731624852188,0.2986281176872038,0.14510289521569864,0.34802116337434186,0.07483917960783655,0.5006301319099771,0.36731462853499025,0.19563996425899086,1.0296094994053546,1.82052791004499,0.06083405,1.9410172,8.0,3.5
ds005292,sub-001,2,CZ,1000.0,-8.555898666381836,0.176,3.94563889503479,0.336,12.501537561416626,0.026450224788523585,30.0-100.0,-1467.8578301194968,-266.8581203603166,3.5381006215441637,1.471629087191972,1.435396161248761,0.9403860312240502,0.056242451991978165,0.4977497634165196,0.05461311913525684,0.6062741305276627,0.31273993244492326,0.49335825832949154,0.3527495793620383,0.1779779782124296,1.0270788438857157,1.7966892212266696,0.05153055,2.4447732,7.0,3.5
ds005292,sub-001,3,CZ,1000.0,-4.405930519104004,0.164,12.133527755737305,0.435,16.53945827484131,0.05842310518776142,30.0-100.0,-357.56571986006185,-11.821514471890692,5.309510310402721,2.3492305610870545,2.403764229900432,0.5496413830448599,0.12111099997656641,0.3412777046104491,0.44941944633466135,0.3355606530959441,0.278186247289418,0.5024604213363438,0.3523091883342576,0.15400296206639097,1.0313099205883867,1.7582131833213754,0.047800403,2.8183584,8.0,3.5
ds005292,sub-001,4,CZ,1000.0,-7.848315715789795,0.304,4.012951850891113,0.382,11.861267566680908,0.06231399226821374,30.0-100.0,-174.23683925959799,-238.2418401802176,0.7294746535467387,3.291631710780711,1.1394849495670767,1.8018759920424083,0.17546434276679881,0.21766303998396533,0.57562542206678,0.42998297548102044,0.2514266205257108,0.5019558941662348,0.38346198022984956,0.26497977897366753,1.0308688961166663,1.7882897553321073,0.07326285,1.880052,8.0,3.5
ds005292,sub-001,5,CZ,1000.0,-7.350028038024902,0.295,-0.44698894023895264,0.339,6.90303909778595,0.09559328651161075,30.0-100.0,74.87638571526641,-111.23070702313495,3.030001918695346,2.091018658763957,0.17665084306725376,0.8313287319315725,0.19333445732374058,0.49775181233066274,0.4435817182276607,0.2222948096230735,0.45511450605545334,0.5092898167321193,0.37278829367591715,0.15921915453722854,1.034164447014708,1.7638182780963738,0.048815135,2.962087,6.0,3.0
ds005292,sub-001,6,CZ,1000.0,-5.887631416320801,0.154,6.321649551391602,0.487,12.209280967712402,0.010027939603153983,30.0-100.0,63.625471724739455,23.346521859007776,2.875821571900498,0.26928481711002356,1.2990926267304241,1.5913930087950865,0.060080584513899846,0.12526867372206948,0.43326877090921023,0.2140218007901528,0.37456041617627556,0.48605232077568056,0.41365009227242283,0.2785873875727209,1.0286271325655862,1.7441192036921256,0.072309166,1.8087558,9.0,3.0
ds005292,sub-001,7,CZ,1000.0,-8.90485954284668,0.272,3.4948973655700684,0.301,12.399756908416748,0.052710357467002,30.0-100.0,-3272.1007703355945,11.508904806304717,2.640826323717733,3.6006029385176124,0.6611125004145993,1.0787762957857665,0.05841367191245544,0.12324429865008449,0.4164037749571129,0.18191266812151718,0.3335177435662766,0.49723434929038024,0.33524773237769007,0.17218387507683255,1.0277196028648894,1.8021559611352136,0.052937727,2.489893,6.0,3.0
ds005292,sub-001,8,CZ,1000.0,-2.4448256492614746,0.191,7.1286845207214355,0.3,9.57351016998291,0.010064964200867598,30.0-100.0,-83.59188364199903,-212.19177671838577,2.8246564420558236,1.7431265902969066,0.8499727033483861,1.5118697856642824,0.08090866257058536,0.36256324176473204,0.5584685297760524,0.4544126365498711,0.4744097076894859,0.49508128373472926,0.35735280023509114,0.208272268180341,1.0278641563439859,1.8285469253847475,0.055781614,2.3999512,3.0,3.0
ds005292,sub-001,9,CZ,1000.0,-7.665467262268066,0.193,7.832065105438232,0.348,15.497532367706299,0.05677526377438664,30.0-100.0,-4291.084892203062,0.08115763103500245,7.25470266649117,4.551504613556686,1.669049593769882,0.9456855874430057,0.1131574156839666,0.3442975390831908,0.37202722383172204,0.11776508933379651,0.3918987107808346,0.5005824480267629,0.3385386328944355,0.18820041652170544,1.0295088828343621,1.754764797223674,0.054786455,2.439622,7.0,3.5
